Geneid	persister_1	persister_2	persister_3	control_1	control_2	control_3
SAOUHSC_00391	382	232	235	152	210	39
SAOUHSC_00392	605	352	466	411	465	37
SAOUHSC_00393	358	174	206	162	171	14
SAOUHSC_00394	287	163	232	147	183	11
SAOUHSC_00395	707	397	575	334	492	14
SAOUHSC_00396	54	26	30	17	23	0
SAOUHSC_00397	645	438	399	1952	1981	662
SAOUHSC_00398	379	247	305	685	817	276
SAOUHSC_00399	160	148	105	175	215	9
SAOUHSC_00400	1197	903	727	882	1067	192
SAOUHSC_00401	6659	5053	3315	4406	3338	308
SAOUHSC_00402	163	105	148	213	305	24
SAOUHSC_00404	313	217	310	278	322	52
SAOUHSC_00405	660	404	607	864	1406	134
SAOUHSC_00406	1646	1008	1304	1791	2011	301
SAOUHSC_00407	592	379	500	599	940	64
SAOUHSC_00408	647	426	506	620	846	120
SAOUHSC_00409	948	426	768	277	456	25
SAOUHSC_00410	6342	4679	4370	447	656	105
SAOUHSC_00411	75	70	41	12	17	2
SAOUHSC_00412	2919	2826	1708	8987	10067	2458
SAOUHSC_00413	10611	11040	6122	29182	38477	15294
SAOUHSC_00414	3175	2501	1954	7253	8881	1467
SAOUHSC_00415	56	36	55	39	42	1
SAOUHSC_00416	2009	1605	1293	1903	2628	225
SAOUHSC_00417	3753	2773	2614	3295	3867	531
SAOUHSC_00418	71	69	49	33	43	12
SAOUHSC_00420	7644	4377	4342	11114	16653	2892
SAOUHSC_00421	3103	1964	2782	111	152	47
SAOUHSC_00422	13684	7465	12122	372	373	72
SAOUHSC_00423	3185	2155	2953	851	1629	176
SAOUHSC_00424	1698	1136	1604	281	559	93
SAOUHSC_00426	6801	3918	5862	922	2391	136
SAOUHSC_00427	2619	2373	3169	12707	14445	6595
SAOUHSC_00428	1864	1061	1401	1098	774	18
SAOUHSC_00429	499	425	398	579	752	156
SAOUHSC_00430	2499	1764	1817	1775	2289	936
SAOUHSC_00431	2638	1556	2164	712	1334	137
SAOUHSC_00433	1395	836	1036	938	1793	383
SAOUHSC_00434	309	222	195	264	350	37
SAOUHSC_00435	15990	9901	20137	85249	124500	28715
SAOUHSC_00436	13704	8400	16902	34908	43393	12619
SAOUHSC_T00048	4457	2835	3712	2458	1570	928
SAOUHSC_00437	8384	14832	8307	6572	7355	1767
SAOUHSC_00438	2967	4488	3141	1158	1515	357
SAOUHSC_00439	2419	2859	2460	907	1021	230
SAOUHSC_00440	436	348	394	54	28	16
SAOUHSC_00441	1108	954	1062	1417	1778	365
SAOUHSC_00442	12350	11645	12788	7047	8604	2073
SAOUHSC_00444	5265	5175	5352	4996	7970	3377
SAOUHSC_00445	10149	8004	9341	7454	9564	2642
SAOUHSC_00446	47	40	37	17	14	4
SAOUHSC_R0001	2431	1350	328	3711	2818	6213
SAOUHSC_R0006	14099	15264	4114	12631	9195	19023
SAOUHSC_R00011	7	20	14	1	1	6
SAOUHSC_00450	584	446	376	1231	1397	213
SAOUHSC_00451	603	518	493	885	1100	115
SAOUHSC_00452	5226	5964	4141	9260	13441	2998
SAOUHSC_00453	23	9	14	19	6	0
SAOUHSC_00454	679	635	620	2312	2999	135
SAOUHSC_00455	1529	1076	1299	1062	1645	357
SAOUHSC_00456	1255	823	959	576	594	95
SAOUHSC_00457	422	379	362	291	347	59
SAOUHSC_00458	159	155	120	108	155	28
SAOUHSC_00459	577	419	350	357	383	75
SAOUHSC_00460	10	7	9	6	8	0
SAOUHSC_00461	6616	4980	4712	12022	17638	1810
SAOUHSC_00462	5234	3626	3825	6607	9259	3937
SAOUHSC_00463	350	317	283	1234	2546	368
SAOUHSC_00464	612	543	421	1729	2755	944
SAOUHSC_00465	38496	37005	25544	26269	15727	1568
SAOUHSC_00466	13287	13350	11618	10784	15059	4072
SAOUHSC_00467	16732	15445	14540	14258	18423	2464
SAOUHSC_00468	30405	29290	22062	56474	78622	25931
SAOUHSC_00469	37226	36188	26197	57608	71655	34753
SAOUHSC_00470	12	25	15	19	65	27
SAOUHSC_00471	13502	14060	11466	17017	17230	10373
SAOUHSC_00472	16203	16524	13631	14473	16500	3744
SAOUHSC_00473	57	32	19	18	9	0
SAOUHSC_00474	232305	196892	236656	37648	32635	14728
SAOUHSC_00475	703	523	415	2093	2521	403
SAOUHSC_00477	7381	5741	5262	8245	11343	2257
SAOUHSC_00479	3505	2719	2376	3592	4599	442
SAOUHSC_00480	6241	4928	4689	6077	8956	1817
SAOUHSC_00481	1881	1556	1585	1929	3538	487
SAOUHSC_00482	3776	2358	2821	3300	4947	639
SAOUHSC_00483	11213	8472	7355	17325	17951	2677
SAOUHSC_00484	1054	854	720	1689	2289	517
SAOUHSC_00485	1376	1287	1018	2249	2861	463
SAOUHSC_00486	43463	37518	27029	59665	72124	17623
SAOUHSC_00487	5614	4850	3849	6331	6845	2007
SAOUHSC_00488	20714	15844	16374	17672	27851	10933
SAOUHSC_00489	534	465	475	670	911	188
SAOUHSC_00490	761	582	749	531	654	62
SAOUHSC_00491	4582	4169	4779	2905	3285	486
SAOUHSC_00492	1204	796	1556	1066	2075	80
SAOUHSC_00493	36359	31006	38158	25482	34477	7642
SAOUHSC_R00016	175	101	67	61	22	51
SAOUHSC_T00059	90	100	48	24	16	18
SAOUHSC_T00053	1668	1669	1113	900	274	462
SAOUHSC_T00035	650	614	438	633	278	415
SAOUHSC_T00021	417	335	308	267	120	232
SAOUHSC_T00030	249	269	97	256	24	52
SAOUHSC_T0004	2532	1896	1942	1268	1146	865
SAOUHSC_T00044	289	211	192	384	296	225
SAOUHSC_T0001	750	422	265	390	494	346
SAOUHSC_R0002	2650	1466	339	3947	2998	6807
SAOUHSC_R0007	13982	15959	4340	11700	8805	18073
SAOUHSC_R00012	76	59	27	68	10	63
SAOUHSC_00497	480	267	228	246	359	15
SAOUHSC_00499	1502	1228	1042	2379	2367	1074
SAOUHSC_00500	1349	1011	910	1995	2295	280
SAOUHSC_00501	3471	2861	2311	12399	14143	1073
SAOUHSC_00502	9028	9100	4619	6545	2273	87
SAOUHSC_00503	10699	10808	5876	5985	2969	270
SAOUHSC_00504	24574	25298	14215	13519	5855	232
SAOUHSC_00505	75635	68965	39170	45345	24485	3490
SAOUHSC_00506	2	1	0	3	1	0
SAOUHSC_00507	4310	3910	2578	13340	20459	6626
SAOUHSC_00508	3003	2437	1948	7345	12462	1486
SAOUHSC_00509	8057	6911	5291	16354	25040	3688
SAOUHSC_00510	759	716	438	2253	4635	1596
SAOUHSC_00511	1791	1758	1064	6974	11623	2558
SAOUHSC_00512	641	589	407	2490	5282	613
SAOUHSC_00513	1065	979	588	3821	5866	2130
SAOUHSC_00514	1224	1108	707	3969	6703	896
SAOUHSC_00515	710	624	463	2396	3441	247
SAOUHSC_00516	2298	1866	1819	3569	5687	627
SAOUHSC_00517	5431	4694	3751	6831	8141	2401
SAOUHSC_00518	75013	64363	57311	44843	41843	13481
SAOUHSC_00519	63683	71328	48304	53572	44107	10454
SAOUHSC_00520	72533	71274	57333	59186	94486	8579
SAOUHSC_00521	43855	36157	34767	37409	41847	11698
SAOUHSC_00523	8026	8861	6289	5551	6088	2163
SAOUHSC_00524	243409	214397	165248	116854	119046	56429
SAOUHSC_00525	314548	255611	193628	157073	148176	69114
SAOUHSC_00526	20485	19604	13555	12094	7107	1277
SAOUHSC_00527	108176	113183	88450	58416	72101	30040
SAOUHSC_00528	106795	105715	85857	60662	62305	26153
SAOUHSC_00529	530189	516918	401747	331808	300434	194337
SAOUHSC_00530	393360	363856	283372	339690	281101	187738
SAOUHSC_00531	1532	1090	911	3919	5476	1502
SAOUHSC_00532	6327	5769	4377	16256	24230	3647
SAOUHSC_00533	8236	6500	3455	21160	67030	8449
SAOUHSC_00534	857	649	544	1308	2097	309
SAOUHSC_00535	25042	21297	18408	5087	5402	842
SAOUHSC_00536	4047	3856	2641	19402	23948	5101
SAOUHSC_00537	308	276	263	1663	2724	169
SAOUHSC_00538	375	296	260	1843	2825	460
SAOUHSC_00539	1016	703	696	964	1258	152
SAOUHSC_00540	97	70	88	390	301	25
SAOUHSC_00541	189	129	125	464	505	154
SAOUHSC_00542	858	479	612	1439	1965	189
SAOUHSC_00543	1432	777	1126	1301	1608	155
SAOUHSC_A00526	45	19	32	8	4	0
SAOUHSC_00544	31924	19502	37974	3699	4406	2832
SAOUHSC_00545	15712	12303	16047	7496	6182	2931
SAOUHSC_00547	1261	912	897	2795	3303	223
SAOUHSC_00548	5382	3949	4552	3946	4403	327
SAOUHSC_00549	11106	9025	7062	6976	6832	1023
SAOUHSC_00550	6213	4819	3734	5022	5627	1271
SAOUHSC_00551	3319	2618	2132	4022	4874	585
SAOUHSC_00552	1382	1302	843	1715	1916	149
